,CountryName,CountryCode,RegionName,RegionCode,Jurisdiction,Date,C1_School closing,C1_Flag,C1_Notes,C2_Workplace closing,C2_Flag,C2_Notes,C3_Cancel public events,C3_Flag,C3_Notes,C4_Restrictions on gatherings,C4_Flag,C4_Notes,C5_Close public transport,C5_Flag,C5_Notes,C6_Stay at home requirements,C6_Flag,C6_Notes,C7_Restrictions on internal movement,C7_Flag,C7_Notes,C8_International travel controls,C8_Notes,E1_Income support,E1_Flag,E1_Notes,E2_Debt/contract relief,E2_Notes,E3_Fiscal measures,E3_Notes,E4_International support,E4_Notes,H1_Public information campaigns,H1_Flag,H1_Notes,H2_Testing policy,H2_Notes,H3_Contact tracing,H3_Notes,H4_Emergency investment in healthcare,H4_Notes,H5_Investment in vaccines,H5_Notes,H6_Facial Coverings,H6_Flag,H6_Notes,H7_Vaccination policy,H7_Flag,H7_Notes,H8_Protection of elderly people,H8_Flag,H8_Notes,M1_Wildcard,M1_Notes,V1_Vaccine Prioritisation (summary),V1_Notes,V2A_Vaccine Availability (summary),V2_Notes,V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary),V3_Notes,V4_Mandatory Vaccination (summary),V4_Notes,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay
14560,United Kingdom,GBR,,,NAT_TOTAL,20220101,1.0,1.0,,2.0,1.0,"Vaccine status certification required for entry to some businesses and venues in England, and similar restrictions in SCO, WAL, NIR  In England this requirement ends on 27 January  Source: http://web.archive.org/web/20220117182750/https://www.gov.uk/guidance/nhs-covid-pass    ""To enter certain venues and events in England you must have proof of one of the following:   you are vaccinated with 2 doses of an approved vaccine (or one of the single-dose Janssen vaccine)   you have completed a negative PCR test or negative rapid lateral flow test within the past 48 hours  you are exempt from vaccination or vaccination and testing on the basis of a medical exemption or clinical trial participation""  Source: http://web.archive.org/web/20220101160418/https://www.gov.uk/guidance/nhs-covid-pass",2.0,1.0,,3.0,0.0,,1.0,0.0,,0.0,,,0.0,,,2.0,"Fully vaccinated arrivals do not need to quarantine upon arrival, but must take a COVID-19 test within 48 hours upon arrival. Non-vaccinated arrivals must quarantine for 10 days, and must take a PCR test 48 hours prior to departure and then test upon arrival on days 2 and 8.These rules are set to change on 11 February.  As of 15 December 2021, there are no countries on the red list.   Source: http://web.archive.org/web/20220127010758/https://www.gov.uk/guidance/travel-to-england-from-another-country-during-coronavirus-covid-19#international-travel-rules-until-11-february-2022     Changes to be introduced 11 February for fully vaccinated travellers:    Mr Speaker, from 4am on the 11th February, and in time for the half-term break, eligible fully vaccinated passengers arriving in the UK will no longer have to take a post-arrival, lateral flow test.  Today I can announce that passengers who do not qualify as fully vaccinated will no longer be required to do a day 8 test after arrival or, indeed, to self-isolate. They will still need to fill out a passenger locator form to demonstrate proof of a negative COVID test taken 2 days before travel, and they must also take a post-arrival PCR test.  https://archive.vn/FNxIc",0.0,,,1.0,,,,,,2.0,1.0,,2.0,,1.0,,,,0.0,,3.0,0.0,Everyone age 12 and over must wear a face covering in most indoor public places in Scotland. Face coverings are mandatory in most indoor public places across Wales. Sources: http://web.archive.org/web/20220101225954/https://www.gov.scot/publications/coronavirus-covid-19-public-use-of-face-coverings/ http://web.archive.org/web/20220104042745/https://gov.wales/face-coverings-guidance-public ,5.0,1.0,,2.0,0.0,,,,2.0,,3.0,,5-15 yrs,5-15 yrs,2.0,2.0,2.0,2.0,5.0,,1.0,,13100458.0,148778.0,48.61,48.61,58.33,58.33,51.04,51.04,54.76,54.76,25.0,25.0
14561,United Kingdom,GBR,,,NAT_TOTAL,20220102,1.0,1.0,,2.0,1.0,,2.0,1.0,,3.0,0.0,,1.0,0.0,,0.0,,,0.0,,,2.0,,0.0,,,1.0,,,,,,2.0,1.0,,2.0,,1.0,,,,0.0,,3.0,0.0,,5.0,1.0,,2.0,0.0,,,,2.0,,3.0,,5-15 yrs,5-15 yrs,2.0,2.0,2.0,2.0,5.0,,1.0,,13235401.0,148851.0,48.61,48.61,58.33,58.33,51.04,51.04,54.76,54.76,25.0,25.0
14562,United Kingdom,GBR,,,NAT_TOTAL,20220103,1.0,1.0,,2.0,1.0,,2.0,1.0,,3.0,0.0,,1.0,0.0,,0.0,,,0.0,,,2.0,,0.0,,,1.0,,,,,,2.0,1.0,,2.0,,1.0,,,,0.0,,3.0,0.0,,5.0,1.0,,2.0,0.0,,,,2.0,,3.0,,5-15 yrs,5-15 yrs,2.0,2.0,2.0,2.0,5.0,,1.0,,13422815.0,148893.0,48.61,48.61,58.33,58.33,51.04,51.04,54.76,54.76,25.0,25.0
14563,United Kingdom,GBR,,,NAT_TOTAL,20220104,1.0,1.0,Face coverings required in schools    http://web.archive.org/web/20220110165630/https://www.gov.uk/coronavirus    ,2.0,1.0,,2.0,1.0,,3.0,0.0,,1.0,0.0,,0.0,,,0.0,,,2.0,,0.0,,,1.0,,,,,,2.0,1.0,,2.0,,1.0,,,,0.0,,3.0,0.0,,5.0,1.0,,2.0,0.0,,,,2.0,,3.0,,5-15 yrs,5-15 yrs,2.0,2.0,2.0,2.0,5.0,,1.0,,13641520.0,148941.0,48.61,48.61,58.33,58.33,51.04,51.04,54.76,54.76,25.0,25.0
14564,United Kingdom,GBR,,,NAT_TOTAL,20220105,1.0,1.0,,2.0,1.0,,2.0,1.0,,3.0,0.0,,1.0,0.0,,0.0,,,0.0,,,2.0,,0.0,,,1.0,,,,,,2.0,1.0,,2.0,,1.0,,,,0.0,,3.0,0.0,,5.0,1.0,,2.0,0.0,,,,2.0,,3.0,,5-15 yrs,5-15 yrs,2.0,2.0,2.0,2.0,5.0,,1.0,,13835334.0,149284.0,48.61,48.61,58.33,58.33,51.04,51.04,54.76,54.76,25.0,25.0
14565,United Kingdom,GBR,,,NAT_TOTAL,20220106,1.0,1.0,,2.0,1.0,,2.0,1.0,,3.0,0.0,,1.0,0.0,,0.0,,,0.0,,,2.0,,0.0,,,1.0,,,,,,2.0,1.0,,2.0,,1.0,,,,0.0,,3.0,0.0,,5.0,1.0,,2.0,0.0,,,,2.0,,3.0,,5-15 yrs,5-15 yrs,2.0,2.0,2.0,2.0,5.0,,1.0,,14015065.0,149515.0,48.61,48.61,58.33,58.33,51.04,51.04,54.76,54.76,25.0,25.0
14566,United Kingdom,GBR,,,NAT_TOTAL,20220107,1.0,1.0,,2.0,1.0,,2.0,1.0,,3.0,0.0,,1.0,0.0,,0.0,,,0.0,,,2.0,,0.0,,,1.0,,,,,,2.0,1.0,,2.0,,1.0,,,,0.0,,3.0,0.0,,5.0,1.0,,2.0,0.0,,,,2.0,,3.0,,5-15 yrs,5-15 yrs,2.0,2.0,2.0,2.0,5.0,,1.0,,14193228.0,149744.0,48.61,48.61,58.33,58.33,51.04,51.04,54.76,54.76,25.0,25.0
14567,United Kingdom,GBR,,,NAT_TOTAL,20220108,1.0,1.0,,2.0,1.0,,2.0,1.0,,3.0,0.0,,1.0,0.0,,0.0,,,0.0,,,2.0,,0.0,,,1.0,,,,,,2.0,1.0,,2.0,,1.0,,,,0.0,,3.0,0.0,,5.0,1.0,,2.0,0.0,,,,2.0,,3.0,,5-15 yrs,5-15 yrs,2.0,2.0,2.0,2.0,5.0,,1.0,,14333794.0,150057.0,48.61,48.61,58.33,58.33,51.04,51.04,54.76,54.76,25.0,25.0
14568,United Kingdom,GBR,,,NAT_TOTAL,20220109,1.0,1.0,,2.0,1.0,,2.0,1.0,,3.0,0.0,,1.0,0.0,,0.0,,,0.0,,,2.0,,0.0,,,1.0,,,,,,2.0,1.0,,2.0,,1.0,,,,0.0,,3.0,0.0,,5.0,1.0,,2.0,0.0,,,,2.0,,3.0,,5-15 yrs,5-15 yrs,2.0,2.0,2.0,2.0,5.0,,1.0,,14475192.0,150154.0,48.61,48.61,58.33,58.33,51.04,51.04,54.76,54.76,25.0,25.0
14569,United Kingdom,GBR,,,NAT_TOTAL,20220110,1.0,1.0,,2.0,1.0,,2.0,1.0,,3.0,0.0,,1.0,0.0,,0.0,,,0.0,,,2.0,,0.0,,,1.0,,,,,,2.0,1.0,,2.0,,1.0,,,,0.0,,3.0,0.0,,5.0,1.0,,2.0,0.0,,,,2.0,,3.0,,5-15 yrs,5-15 yrs,2.0,2.0,2.0,2.0,5.0,,1.0,,14617314.0,150230.0,48.61,48.61,58.33,58.33,51.04,51.04,54.76,54.76,25.0,25.0
14570,United Kingdom,GBR,,,NAT_TOTAL,20220111,1.0,1.0,,2.0,1.0,,2.0,1.0,,3.0,0.0,,1.0,0.0,,0.0,,,0.0,,,2.0,,0.0,,,1.0,,,,,,2.0,1.0,,2.0,,1.0,,,,0.0,,3.0,0.0,,5.0,1.0,,2.0,0.0,,,,2.0,,3.0,,5-15 yrs,5-15 yrs,2.0,2.0,2.0,2.0,5.0,,1.0,,14732594.0,150609.0,48.61,48.61,58.33,58.33,51.04,51.04,54.76,54.76,25.0,25.0
